Pkey,AreaID,UploadTime,SystemTime,Class,LastEndTime,StartTime,EndTime,Partnum,Lotnum,Layer,ProcName,EQID,MachineNo,IType,Inputpcs,Outputpcs,WID,User,OP,Remark,NCN,Version,Flag,Count,CreateTime,Enable
719,3,2024-02-20 09:51:08.000,2024-01-11 14:03:52.340,D,2024-01-10 18:05:00.000,2024-01-11 14:04:11.393,2024-01-13 04:01:24.970,2231551A02,241A3001-05-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 200K #28,MDLMDL2013,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
720,3,2024-02-20 09:48:40.000,2024-01-11 14:19:42.007,D,2024-01-10 15:05:00.000,2024-01-11 14:20:13.950,2024-01-13 04:01:12.077,2231551A02,241A3001-04-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 200K #16,MDLMDL1123,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
721,3,2024-02-20 09:51:08.000,2024-01-11 15:02:33.940,D,2024-01-10 18:05:00.000,2024-01-11 15:02:55.147,2024-01-13 04:01:43.500,2231551A02,241A3001-06-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 200K #11,MDLMDL1093,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
722,3,2024-02-20 09:51:08.000,2024-01-11 19:11:50.300,D,2024-01-10 15:04:00.000,2024-01-11 19:12:21.150,2024-01-13 04:00:59.530,2231551A02,241A3001-02-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 200K #65,MDLMDL1413,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
723,3,2024-02-20 09:48:40.000,2024-01-11 22:57:02.210,N,2024-01-11 01:45:00.000,2024-01-11 22:57:55.540,2024-01-13 03:48:31.280,2231541A02,241A3002-01-00,-L4L5,MDL2MDL1,H3 HITACHI 鑽孔機 330K #53,MDLMDL2213,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
724,3,2024-02-20 10:01:24.000,2024-01-11 23:00:24.870,N,2024-01-11 15:05:00.000,2024-01-11 23:00:53.013,2024-01-13 03:51:58.080,2616247T07,241A3013-01-00,-L11L12,MDL2MDL1,H3 HITACHI 鑽孔機 200K #61,MDLMDL1373,E3_實驗3,14,14,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
725,3,2024-02-20 09:51:08.000,2024-01-11 23:02:59.003,N,2024-01-11 17:49:00.000,2024-01-11 23:03:54.833,2024-01-13 12:20:43.133,2231551A02,241B3007-01-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 200K #01,MDLMDL1013,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
726,3,2024-02-20 09:51:08.000,2024-01-11 23:07:08.363,N,2024-01-11 17:49:00.000,2024-01-11 23:07:38.500,2024-01-13 16:38:39.903,2231551A02,241B3007-02-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 200K #08,MDLMDL1083,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
727,3,2024-02-20 09:51:08.000,2024-01-11 11:18:06.200,D,2024-01-10 15:05:00.000,2024-01-11 11:19:24.383,2024-01-12 22:22:15.990,2231551A02,241A3001-03-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 200K #24,MDLMDL1203,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
728,3,2024-02-20 09:47:54.000,2024-01-12 01:13:07.097,N,2024-01-11 04:53:00.000,2024-01-12 01:13:19.060,2024-01-13 04:00:30.740,2231541A02,241A3002-03-00,-L4L5,MDL2MDL1,H3 HITACHI 鑽孔機 330K #45,MDLMDL2163,C_量產,48,48,77743,"孟妮葵              ",77743,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
